"job_id","STC","rack_address","port_x_m","port_y_m","port_z_m","kind","arrival_s","dispatch_s","complete_s","wait_s","lead_s","cycle","measurement_window","seed","port_route","fem_case"
"STC1/out-13","1","STC01-B-004-05","0","0","-1.2","out","1010.8138712003295","1188.6630086251553","1223.203903349153","177.8491374248258","212.3900321488236","out","true","20260909","CASE1","1"
"STC1/in-14","1","STC01-B-030-07","0","0","-1.2","in","1112.6383648799465","1223.203903349153","1264.2467363197493","110.56553846920656","151.6083714398028","dc","true","20260909","CASE2","2"
"STC1/out-14","1","STC01-A-027-07","60","0","-1.2","out","1104.929586424093","1223.203903349153","1301.7561522043895","118.27431692506002","196.8265657802965","dc","true","20260909","CASE2","2"
"STC1/in-13","1","STC01-A-021-01","0","0","-1.2","in","1030.9805604296603","1327.7561522043895","1362.7989851749858","296.77559177472926","331.8184247453255","in","true","20260909","CASE1","1"
"STC1/out-15","1","STC01-A-016-10","0","10","-1.2","out","1188.0321628081479","1382.4656518416525","1435.6751514789153","194.43348903350466","247.6429886707674","out","true","20260909","CASE3","3"
"STC1/in-16","1","STC01-B-015-01","30","0","-1.2","in","1274.2622867173382","1435.6751514789153","1470.379744907591","161.4128647615771","196.11745819025282","dc","true","20260909","CASE4","4"
"STC1/out-16","1","STC01-A-027-10","30","0","-1.2","out","1271.8206006927148","1435.6751514789153","1527.2559112115205","163.85455078620043","255.43531051880564","dc","true","20260909","CASE4","4"
"STC1/in-15","1","STC01-B-009-08","0","10","-1.2","in","1194.8892805898295","1527.2559112115205","1570.2987441821167","332.366630621691","375.40946359228724","in","true","20260909","CASE3","3"
"STC1/in-17","1","STC01-A-011-02","0","0","-1.2","in","1365.1371583821517","1581.9654108487834","1622.841577152713","216.82825246663174","257.70441877056123","dc","true","20260909","CASE5","5"
"STC1/out-17","1","STC01-A-030-03","0","10","-1.2","out","1365.8089496607759","1581.9654108487834","1682.051076789976","216.1564611880076","316.24212712920007","dc","true","20260909","CASE5","5"
"STC1/in-18","1","STC01-B-021-09","0","10","-1.2","in","1444.5110404584557","1694.551076789976","1742.0939097605722","250.04003633152024","297.5828693021165","in","true","20260909","CASE6","6"
"STC1/out-18","1","STC01-B-003-02","0","0","-1.2","out","1454.8587384367627","1761.760576427239","1793.1920434393635","306.9018379904762","338.3333050026008","out","true","20260909","CASE6","6"
"STC1/in-19","1","STC01-B-025-02","0","0","-1.2","in","1533.0029831321112","1793.1920434393635","1830.9015430766262","260.18906030725225","297.898559944515","dc","true","20260909","CASE1","1"
"STC1/out-19","1","STC01-B-019-07","0","0","-1.2","out","1544.082282756322","1793.1920434393635","1876.611042713889","249.1097606830415","332.528759957567","dc","true","20260909","CASE1","1"
"STC1/out-20","1","STC01-B-013-02","60","0","-1.2","out","1623.576401453465","1876.611042713889","1923.9872090178185","253.034641260424","300.4108075643535","out","true","20260909","CASE2","2"
"STC1/in-21","1","STC01-B-001-06","0","10","-1.2","in","1714.291044932657","1923.9872090178185","1968.6918024464942","209.6961640851614","254.4007575138371","dc","true","20260909","CASE3","3"
"STC1/out-21","1","STC01-A-002-09","0","10","-1.2","out","1705.319663038743","1923.9872090178185","2001.5679687504237","218.66754597907538","296.2483057116806","dc","true","20260909","CASE3","3"
"STC1/in-20","1","STC01-B-021-03","0","0","-1.2","in","1627.2103978374175","2001.5679687504237","2049.11080172102","374.35757091300616","421.9004038836024","in","true","20260909","CASE2","2"
"STC1/out-22","1","STC01-B-016-10","30","0","-1.2","out","1788.0645819141394","2068.7774683876864","2127.153634691616","280.7128864735471","339.0890527774766","out","true","20260909","CASE4","4"
"STC1/in-23","1","STC01-B-027-08","0","0","-1.2","in","1873.8007435734783","2127.153634691616","2182.196467662212","253.35289111813768","308.3957240887337","dc","true","20260909","CASE5","5"
"STC1/out-23","1","STC01-A-026-09","0","10","-1.2","out","1877.0283758041578","2127.153634691616","2224.5726339661414","250.12525888745813","347.54425816198363","dc","true","20260909","CASE5","5"
"STC1/in-22","1","STC01-A-024-06","30","0","-1.2","in","1796.376132180116","2237.0726339661414","2281.948800270071","440.69650178602546","485.57266808995496","in","true","20260909","CASE4","4"
"STC1/in-24","1","STC01-A-012-07","0","10","-1.2","in","1952.3725335552756","2295.448800270071","2340.491633240667","343.07626671479534","388.11909968539135","dc","true","20260909","CASE6","6"
"STC1/out-24","1","STC01-A-021-03","0","0","-1.2","out","1959.794101716418","2295.448800270071","2387.034466211263","335.6546985536529","427.2403644948449","dc","true","20260909","CASE6","6"
"STC1/in-25","1","STC01-B-027-04","0","0","-1.2","in","2041.7742392700166","2399.534466211263","2451.077299181859","357.7602269412464","409.3030599118424","in","true","20260909","CASE1","1"
