"job_id","STC","rack_address","port_x_m","port_y_m","port_z_m","kind","arrival_s","dispatch_s","complete_s","wait_s","lead_s","cycle","measurement_window","seed","port_route","fem_case"
"STC1/in-8","1","STC01-A-030-02-D1","0","0","-1.2","in","607.213990325108","625.5905864080637","666.6334193786596","18.376596082955643","59.41942905355154","in","true","20260909","BASE","1"
"STC1/out-9","1","STC01-A-004-05-D2","0","0","-1.2","out","671.9781279577209","671.9781279577209","727.5209609283169","0","55.54283297059601","out","true","20260909","BASE","1"
"STC1/in-9","1","STC01-B-002-07-D1","0","0","-1.2","in","691.9478780057813","727.5209609283169","758.3971272322461","35.573082922535605","66.44924922646487","in","true","20260909","BASE","1"
"STC1/out-10","1","STC01-B-028-02-D1","0","0","-1.2","out","762.5877364951053","762.5877364951053","825.6305694657013","0","63.04283297059601","out","true","20260909","BASE","1"
"STC1/in-10","1","STC01-A-018-06-D1","0","0","-1.2","in","777.4748831255627","825.6305694657013","858.6734024362972","48.155686340138686","81.19851931073458","in","true","20260909","BASE","1"
"STC1/out-11","1","STC01-A-007-01-D2","0","0","-1.2","out","848.9122694198575","858.6734024362972","902.9801144174778","9.761133016439771","54.06784499762034","out","true","20260909","BASE","1"
"STC1/in-11","1","STC01-B-015-09-D2","0","0","-1.2","in","859.7890162707438","902.9801144174778","943.1896140547404","43.19109814673402","83.40059778399666","in","true","20260909","BASE","1"
"STC1/out-12","1","STC01-B-010-07-D2","0","0","-1.2","out","933.6232961062342","943.1896140547404","988.4626020777798","9.566317948506253","54.83930597154563","out","true","20260909","BASE","1"
"STC1/in-12","1","STC01-B-005-05-D1","0","0","-1.2","in","945.9402927543434","988.4626020777798","1015.3387683817091","42.52230932343639","69.39847562736566","in","true","20260909","BASE","1"
"STC1/out-13","1","STC01-A-018-04-D1","0","0","-1.2","out","1010.8138712003295","1015.3387683817091","1063.048268018972","4.524897181379629","52.23439681864261","out","true","20260909","BASE","1"
"STC1/in-13","1","STC01-B-030-05-D1","0","0","-1.2","in","1030.9805604296603","1063.048268018972","1104.0911009895683","32.067707589311794","73.11054055990803","in","true","20260909","BASE","1"
"STC1/out-14","1","STC01-B-009-03-D2","0","0","-1.2","out","1104.929586424093","1104.929586424093","1157.3057527280225","0","52.376166303929494","out","true","20260909","BASE","1"
"STC1/in-14","1","STC01-A-020-06-D2","0","0","-1.2","in","1112.6383648799465","1157.3057527280225","1197.0152523652853","44.66738784807603","84.37688748533878","in","true","20260909","BASE","1"
"STC1/in-15","1","STC01-B-014-08-D2","0","0","-1.2","in","1194.8892805898295","1197.0152523652853","1254.224752002548","2.1259717754558096","59.33547141271856","dc","true","20260909","BASE","1"
"STC1/out-15","1","STC01-B-010-03-D2","0","0","-1.2","out","1188.0321628081479","1197.0152523652853","1299.267584973144","8.983089557137419","111.23542216499618","dc","true","20260909","BASE","1"
"STC1/in-16","1","STC01-B-010-03-D2","0","0","-1.2","in","1274.2622867173382","1299.267584973144","1332.31041794374","25.005298255805883","58.04813122640189","dc","true","20260909","BASE","1"
"STC1/out-16","1","STC01-A-021-05-D2","0","0","-1.2","out","1271.8206006927148","1299.267584973144","1385.5199175810028","27.446984280429206","113.69931688828797","dc","true","20260909","BASE","1"
"STC1/in-17","1","STC01-A-011-09-D2","0","0","-1.2","in","1365.1371583821517","1385.5199175810028","1425.7294172182656","20.38275919885109","60.59225883611384","dc","true","20260909","BASE","1"
