"job_id","from","to","quantity","arrival_s","dispatch_s","complete_s","wait_s","lead_s","measurement_window","seed"
"J000001","P1","D1","1","92.42540915030986","92.5","170.70000000000002","0.0745908496901393","78.27459084969016","false","20260911"
"J000003","P2","D1","1","103.64767132792623","103.7","195","0.05232867207377012","91.35232867207377","true","20260911"
"J000002","P1","D2","1","95.59039814863354","95.60000000000001","207.10000000000002","0.00960185136646885","111.50960185136648","true","20260911"
"J000004","P2","D2","1","109.22525606583804","109.30000000000001","231.4","0.07474393416197245","122.17474393416197","true","20260911"
"J000006","P2","D1","1","196.20234825182706","196.3","256.1","0.09765174817295019","59.89765174817296","true","20260911"
"J000005","P1","D1","1","194.9081722414121","195","297.90000000000003","0.09182775858789682","102.99182775858793","true","20260911"
"J000008","P2","D2","1","210.15691471286118","210.20000000000002","334.8","0.04308528713883675","124.64308528713883","true","20260911"
"J000010","P2","D1","1","288.83350926451385","288.90000000000003","343.40000000000003","0.0664907354861839","54.566490735486184","true","20260911"
"J000007","P1","D2","1","196.44074758514762","196.5","346.70000000000005","0.05925241485238075","150.25925241485243","true","20260911"
"J000009","P1","D2","1","287.8240799251944","287.90000000000003","407.6","0.07592007480565144","119.77592007480564","true","20260911"
"J000013","P2","D1","1","381.5042236633599","381.6","437.90000000000003","0.09577633664014229","56.395776336640154","true","20260911"
"J000012","P2","D2","1","306.263439678587","306.3","445.5","0.036560321412991925","139.23656032141298","true","20260911"
"J000011","P1","D1","1","296.62382650654763","296.7","458.20000000000005","0.0761734934523588","161.57617349345242","true","20260911"
"J000015","P1","D1","1","400.2325818594545","400.3","480.8","0.06741814054549877","80.5674181405455","true","20260911"
"J000014","P1","D2","1","389.3034584168345","389.40000000000003","494.5","0.0965415831655605","105.19654158316553","true","20260911"
"J000016","P2","D2","1","410.3601425793022","410.40000000000003","517.6","0.03985742069784237","107.23985742069783","true","20260911"
"J000017","P2","D1","1","482.56211060564965","482.6","548.6","0.03788939435037264","66.03788939435037","true","20260911"
"J000019","P1","D1","1","492.97100980300456","493","585.4","0.028990196995437145","92.42899019699541","true","20260911"
"J000018","P1","D2","1","490.63914987258613","490.70000000000005","594","0.06085012741391438","103.36085012741387","true","20260911"
"J000020","P2","D2","1","512.2761579044163","512.3000000000001","622.3000000000001","0.023842095583745504","110.02384209558375","true","20260911"
"J000021","P1","D1","1","584.9603233858943","585","675.8000000000001","0.03967661410570145","90.83967661410577","true","20260911"
"J000022","P2","D1","1","589.9752803798765","590","688.3000000000001","0.024719620123505592","98.32471962012357","true","20260911"
"J000023","P1","D2","1","598.432358680293","598.5","725.3000000000001","0.06764131970703602","126.8676413197071","true","20260911"
"J000024","P2","D2","1","609.3029744876549","609.4","737.8000000000001","0.09702551234511247","128.4970255123452","true","20260911"
"J000026","P2","D1","1","692.1944989170879","692.2","799.1","0.005501082912132915","106.90550108291211","true","20260911"
"J000027","P1","D2","1","694.8169030528516","694.9000000000001","839.8000000000001","0.08309694714853322","144.9830969471485","true","20260911"
"J000025","P1","D1","1","675.4497420787811","675.5","849.3000000000001","0.05025792121887207","173.85025792121894","true","20260911"
"J000029","P1","D1","1","785.1630207616836","785.2","866.4000000000001","0.036979238316462215","81.23697923831651","true","20260911"
"J000028","P2","D2","1","700.7561093335971","700.8000000000001","886.1","0.04389066640294459","185.3438906664029","true","20260911"
"J000030","P1","D2","1","788.3106743963435","788.4000000000001","902.5","0.08932560365656173","114.18932560365647","true","20260911"
"J000034","P2","D1","1","885.8554493542761","885.9000000000001","942.9000000000001","0.04455064572402989","57.04455064572403","true","20260911"
"J000032","P2","D2","1","802.3771860310808","802.4000000000001","946.7","0.022813968919308536","144.32281396891926","true","20260911"
"J000031","P2","D1","1","793.8214444788173","793.9000000000001","954.6","0.07855552118280684","160.77855552118274","true","20260911"
"J000033","P1","D1","1","885.1241468684748","885.2","976.5","0.07585313152526396","91.37585313152522","true","20260911"
"J000036","P2","D2","1","904.1980751929805","904.2","990.8000000000001","0.0019248070195772016","86.6019248070196","true","20260911"
"J000035","P1","D2","1","890.9807247621939","891","1017.4000000000001","0.019275237806141376","126.41927523780623","true","20260911"
"J000037","P2","D1","1","978.0801825132221","978.1","1049.8","0.019817486777924387","71.71981748677786","true","20260911"
"J000038","P1","D1","1","982.8730261651799","982.9000000000001","1070.1000000000001","0.026973834820182674","87.22697383482023","true","20260911"
"J000039","P1","D2","1","998.5785750392824","998.6","1106.6000000000001","0.021424960717581598","108.0214249607177","true","20260911"
"J000040","P2","D2","1","1005.3599424054846","1005.4000000000001","1119.1000000000001","0.04005759451547419","113.74005759451552","true","20260911"
"J000041","P2","D1","1","1074.3118256470188","1074.4","1129.4","0.0881743529812411","55.08817435298124","true","20260911"
"J000042","P1","D1","1","1090.7583076134324","1090.8","1177","0.041692386567547146","86.24169238656759","true","20260911"
"J000043","P1","D2","1","1100.1135527295992","1100.2","1221.6000000000001","0.08644727040086764","121.48644727040096","true","20260911"
"J000045","P2","D1","1","1174.784773690626","1174.8","1231.1000000000001","0.015226309373929325","56.31522630937411","true","20260911"
