"job_id","kind","arrival_s","dispatch_s","complete_s","wait_s","lead_s","cycle","measurement_window","seed"
"in-1","in","0","0","33.833333333333336","0","33.833333333333336","dc","false","20260909"
"out-1","out","0","0","84.33333333333334","0","84.33333333333334","dc","false","20260909"
"out-2","out","88.6899339593947","88.6899339593947","125.1899339593947","0","36.5","out","false","20260909"
"in-2","in","89.65625963572944","125.1899339593947","161.6899339593947","35.53367432366525","72.03367432366525","in","false","20260909"
"out-3","out","176.68134510251028","176.68134510251028","219.18134510251028","0","42.5","out","false","20260909"
"in-3","in","180.57210010343363","219.18134510251028","252.18134510251028","38.60924499907665","71.60924499907665","in","false","20260909"
"out-4","out","256.6500084328332","256.6500084328332","299.78246453521365","0","43.132456102380445","out","false","20260909"
"in-4","in","274.5743384079209","299.78246453521365","334.78246453521365","25.208126127292758","60.20812612729276","in","false","20260909"
"out-5","out","342.06391675663843","342.06391675663843","391.06391675663843","0","49","out","false","20260909"
"in-5","in","353.6463597323745","391.06391675663843","412.06391675663843","37.41755702426394","58.41755702426394","in","false","20260909"
"out-6","out","420.32089039816384","420.32089039816384","468.1542237314972","0","47.83333333333337","out","false","20260909"
"in-6","in","439.9804173968732","468.1542237314972","501.1542237314972","28.173806334624032","61.17380633462403","in","false","20260909"
"out-7","out","505.7721434174371","505.7721434174371","541.1005705421833","0","35.328427124746156","out","false","20260909"
"in-7","in","528.5074725693889","541.1005705421833","566.1005705421833","12.59309797279434","37.59309797279434","in","false","20260909"
"out-8","out","588.1909219255405","588.1909219255405","623.6909219255405","0","35.5","out","true","20260909"
"in-8","in","607.213990325108","623.6909219255405","662.8575885922071","16.47693160043241","55.64359826709904","in","true","20260909"
"out-9","out","671.9781279577209","671.9781279577209","717.6105840601012","0","45.63245610238039","out","true","20260909"
"in-9","in","691.9478780057813","717.6105840601012","737.6658847682962","25.662706054319983","45.71800676251496","in","true","20260909"
"out-10","out","762.5877364951053","762.5877364951053","816.4210698284387","0","53.83333333333337","out","true","20260909"
"in-10","in","777.4748831255627","816.4210698284387","847.5877364951053","38.94618670287605","70.11285336954268","in","true","20260909"
"out-11","out","848.9122694198575","848.9122694198575","891.9122694198575","0","43","out","true","20260909"
"in-11","in","859.7890162707438","891.9122694198575","922.9122694198575","32.12325314911368","63.12325314911368","in","true","20260909"
"out-12","out","933.6232961062342","933.6232961062342","981.2899627729008","0","47.66666666666663","out","true","20260909"
"in-12","in","945.9402927543434","981.2899627729008","1016.2899627729008","35.34967001855739","70.34967001855739","in","true","20260909"
"out-13","out","1010.8138712003295","1016.2899627729008","1053.7899627729007","5.476091572571363","42.97609157257125","out","true","20260909"
"in-13","in","1030.9805604296603","1053.7899627729007","1092.9566294395675","22.809402343240436","61.97606900990718","in","true","20260909"
"out-14","out","1104.929586424093","1104.929586424093","1149.2295026714705","0","44.299916247377496","out","true","20260909"
"in-14","in","1112.6383648799465","1149.2295026714705","1182.3961693381373","36.591137791524034","69.75780445819078","in","true","20260909"
"out-15","out","1188.0321628081479","1188.0321628081479","1243.5321628081479","0","55.5","out","true","20260909"
"in-15","in","1194.8892805898295","1243.5321628081479","1272.6988294748146","48.64288221831839","77.80954888498513","in","true","20260909"
"out-16","out","1271.8206006927148","1272.6988294748146","1330.3654961414813","0.8782287820997681","58.54489544876651","out","true","20260909"
"in-16","in","1274.2622867173382","1330.3654961414813","1361.3654961414813","56.10320942414319","87.10320942414319","in","true","20260909"
"in-17","in","1365.1371583821517","1365.1371583821517","1409.1371583821517","0","44","in","true","20260909"
"out-17","out","1365.8089496607759","1409.1371583821517","1466.9704917154852","43.32820872137586","101.16154205470934","out","true","20260909"
"in-18","in","1444.5110404584557","1466.9704917154852","1500.137158382152","22.459451257029514","55.626117923696256","dc","true","20260909"
"out-18","out","1454.8587384367627","1466.9704917154852","1537.692459090347","12.111753278722517","82.83372065358435","dc","true","20260909"
"in-19","in","1533.0029831321112","1537.692459090347","1573.5257924236803","4.689475958235789","40.52280929156905","in","true","20260909"
"out-19","out","1544.082282756322","1573.5257924236803","1617.8591257570135","29.443509667358285","73.77684300069154","out","true","20260909"
"out-20","out","1623.576401453465","1623.576401453465","1665.7430681201315","0","42.166666666666515","out","true","20260909"
"in-20","in","1627.2103978374175","1665.7430681201315","1692.7430681201315","38.53267028271398","65.53267028271398","in","true","20260909"
"out-21","out","1705.319663038743","1705.319663038743","1746.819663038743","0","41.5","out","true","20260909"
"in-21","in","1714.291044932657","1746.819663038743","1779.9863297054098","32.528618106086014","65.69528477275276","in","true","20260909"
"out-22","out","1788.0645819141394","1788.0645819141394","1839.5645819141394","0","51.5","out","true","20260909"
